model,language,comparison,mean_cosine,centroid_cosine,mean_norm_pos,mean_norm_neg,norm_ratio_pos_over_neg
BAAI/bge-m3,ar,neutral_to_love_vs_neutral_to_hate,0.6172109842300415,0.6087760925292969,9.689704895019531,9.330169677734377,1.0385346412658691
BAAI/bge-m3,de,neutral_to_love_vs_neutral_to_hate,0.3624721169471741,0.3248283565044403,10.86072826385498,11.012948989868164,0.9861780405044556
BAAI/bge-m3,en,neutral_to_love_vs_neutral_to_hate,0.4576273560523987,0.4548005759716034,14.209693908691406,10.797680854797363,1.3159949779510498
BAAI/bge-m3,es,neutral_to_love_vs_neutral_to_hate,0.5281679034233093,0.5253632664680481,13.44413948059082,11.411527633666992,1.17811918258667
BAAI/bge-m3,fr,neutral_to_love_vs_neutral_to_hate,0.4768882691860199,0.4607427716255188,13.284782409667969,11.016736030578612,1.2058727741241455
BAAI/bge-m3,ru,neutral_to_love_vs_neutral_to_hate,0.4026464819908142,0.3854104578495025,9.103910446166992,10.228899955749512,0.8900185227394104
BAAI/bge-m3,zh,neutral_to_love_vs_neutral_to_hate,0.6071022152900696,0.5829614996910095,7.162195682525635,7.221048831939697,0.9918497800827026
bert-base-multilingual-cased,ar,neutral_to_love_vs_neutral_to_hate,0.7538992166519165,0.7844610214233398,4.078860282897949,4.3108439445495605,0.9461860060691832
bert-base-multilingual-cased,de,neutral_to_love_vs_neutral_to_hate,0.824670135974884,0.8370851278305054,5.550897121429443,5.62758731842041,0.9863724708557128
bert-base-multilingual-cased,en,neutral_to_love_vs_neutral_to_hate,0.7966894507408142,0.832773745059967,6.1615986824035645,5.527435779571533,1.1147300004959106
bert-base-multilingual-cased,es,neutral_to_love_vs_neutral_to_hate,0.7609175443649292,0.7880345582962036,5.198645114898682,4.537510871887207,1.14570415019989
bert-base-multilingual-cased,fr,neutral_to_love_vs_neutral_to_hate,0.6887944340705872,0.7013311386108398,5.004193305969238,5.114495277404785,0.9784334301948548
bert-base-multilingual-cased,ru,neutral_to_love_vs_neutral_to_hate,0.6172379851341248,0.6290756464004517,4.159272193908691,3.764692783355713,1.1048104763031006
bert-base-multilingual-cased,zh,neutral_to_love_vs_neutral_to_hate,0.6628578901290894,0.6349963545799255,3.783694505691528,4.273367404937744,0.885412871837616
distilbert-base-multilingual-cased,ar,neutral_to_love_vs_neutral_to_hate,0.6976290941238403,0.6938911080360413,2.376396894454956,2.560155153274536,0.9282237887382508
distilbert-base-multilingual-cased,de,neutral_to_love_vs_neutral_to_hate,0.7746507525444031,0.7655052542686462,3.61332631111145,3.4430572986602783,1.0494529008865356
distilbert-base-multilingual-cased,en,neutral_to_love_vs_neutral_to_hate,0.8297287225723267,0.8345621824264526,4.230080604553223,4.200934410095215,1.0069379806518557
distilbert-base-multilingual-cased,es,neutral_to_love_vs_neutral_to_hate,0.7811209559440613,0.7723715901374817,3.5427451133728027,3.217215061187744,1.1011837720870972
