from_level,to_level,step_size,mean_delta_norm,std_delta_norm,mean_centroid_norm,cells
-2,-1,1,3.896023536215023,2.466165922876748,3.533040991243051,49
-2,0,2,5.111370770298705,3.382987315995282,4.683926851773749,49
-2,2,4,4.774371698194621,3.7878316061140995,4.405355593379663,49
-1,0,1,5.045820815222604,3.3578125678405284,4.656737355553374,49
-1,1,2,4.101949838047125,3.5077260523344314,3.775802428625068,49
0,1,1,5.376766575842487,3.8051974089888168,4.923954205853598,49
0,2,2,5.562204094565645,4.052228591782237,5.078560995812318,49
1,2,1,3.314062266325464,2.108268915985122,2.973997545485594,49
