model,language,from_level,to_level,step_size,mean_delta_norm,centroid_norm,n
bert-base-multilingual-cased,ar,-2,-1,1,4.035826683044434,3.5368924140930176,160
bert-base-multilingual-cased,ar,-1,0,1,4.643001556396484,3.785931348800659,160
bert-base-multilingual-cased,ar,0,1,1,4.454533100128174,3.5401113033294678,160
bert-base-multilingual-cased,ar,1,2,1,3.5375351905822754,2.9531118869781494,160
bert-base-multilingual-cased,ar,-2,0,2,4.3108439445495605,3.487255334854126,160
bert-base-multilingual-cased,ar,-1,1,2,2.0670175552368164,1.7573305368423462,160
bert-base-multilingual-cased,ar,0,2,2,4.078860282897949,3.1493868827819824,160
bert-base-multilingual-cased,ar,-2,2,4,2.787137269973755,2.2019453048706055,160
bert-base-multilingual-cased,de,-2,-1,1,4.134625434875488,3.4090540409088135,160
bert-base-multilingual-cased,de,-1,0,1,5.607895851135254,4.874821662902832,160
bert-base-multilingual-cased,de,0,1,1,5.663567543029785,4.8151774406433105,160
bert-base-multilingual-cased,de,1,2,1,3.6809158325195312,3.057217836380005,160
bert-base-multilingual-cased,de,-2,0,2,5.62758731842041,4.833742141723633,160
bert-base-multilingual-cased,de,-1,1,2,3.153022050857544,2.4944653511047363,160
bert-base-multilingual-cased,de,0,2,2,5.550897121429443,4.780059814453125,160
bert-base-multilingual-cased,de,-2,2,4,3.303234577178955,2.744333267211914,160
bert-base-multilingual-cased,en,-2,-1,1,3.287783145904541,2.7792470455169678,160
bert-base-multilingual-cased,en,-1,0,1,5.107747554779053,4.66196870803833,160
bert-base-multilingual-cased,en,0,1,1,5.654491901397705,5.060533046722412,160
bert-base-multilingual-cased,en,1,2,1,3.597003936767578,2.9424996376037598,160
bert-base-multilingual-cased,en,-2,0,2,5.527435779571533,5.036523342132568,160
bert-base-multilingual-cased,en,-1,1,2,3.763704299926758,3.11382794380188,160
bert-base-multilingual-cased,en,0,2,2,6.1615986824035645,5.534454345703125,160
bert-base-multilingual-cased,en,-2,2,4,3.753279209136963,3.0936384201049805,160
bert-base-multilingual-cased,es,-2,-1,1,3.9342408180236816,3.2443926334381104,160
bert-base-multilingual-cased,es,-1,0,1,4.806997776031494,4.151872158050537,160
bert-base-multilingual-cased,es,0,1,1,5.100981712341309,4.3888468742370605,160
bert-base-multilingual-cased,es,1,2,1,3.585660457611084,2.848578453063965,160
bert-base-multilingual-cased,es,-2,0,2,4.537510871887207,3.65678071975708,160
bert-base-multilingual-cased,es,-1,1,2,2.5861682891845703,2.2452266216278076,160
bert-base-multilingual-cased,es,0,2,2,5.198645114898682,4.396439075469971,160
bert-base-multilingual-cased,es,-2,2,4,3.3517441749572754,2.713402271270752,160
bert-base-multilingual-cased,fr,-2,-1,1,5.583090782165527,4.608009338378906,160
bert-base-multilingual-cased,fr,-1,0,1,5.7003936767578125,4.950286865234375,160
bert-base-multilingual-cased,fr,0,1,1,5.381825923919678,4.471103191375732,160
bert-base-multilingual-cased,fr,1,2,1,3.642338514328003,2.79935359954834,160
bert-base-multilingual-cased,fr,-2,0,2,5.114495277404785,4.306355953216553,160
bert-base-multilingual-cased,fr,-1,1,2,2.981407642364502,2.5292413234710693,160
bert-base-multilingual-cased,fr,0,2,2,5.004193305969238,4.2071075439453125,160
bert-base-multilingual-cased,fr,-2,2,4,3.9540019035339355,3.2912001609802246,160
bert-base-multilingual-cased,ru,-2,-1,1,3.428380250930786,3.000790596008301,160
bert-base-multilingual-cased,ru,-1,0,1,3.9683799743652344,3.515984296798706,160
bert-base-multilingual-cased,ru,0,1,1,4.267228126525879,3.700294256210327,160
bert-base-multilingual-cased,ru,1,2,1,4.0220441818237305,3.414238929748535,160
bert-base-multilingual-cased,ru,-2,0,2,3.764692783355713,3.171372652053833,160
bert-base-multilingual-cased,ru,-1,1,2,4.140840530395508,3.6904282569885254,160
bert-base-multilingual-cased,ru,0,2,2,4.159272193908691,3.4283785820007324,160
bert-base-multilingual-cased,ru,-2,2,4,3.4563210010528564,2.851653575897217,160
bert-base-multilingual-cased,zh,-2,-1,1,4.258848667144775,3.54487943649292,160
bert-base-multilingual-cased,zh,-1,0,1,4.971449851989746,4.36046838760376,160
bert-base-multilingual-cased,zh,0,1,1,4.677010536193848,4.032299041748047,160
bert-base-multilingual-cased,zh,1,2,1,3.888127088546753,3.485297679901123,160
bert-base-multilingual-cased,zh,-2,0,2,4.273367404937744,3.513253688812256,160
bert-base-multilingual-cased,zh,-1,1,2,3.0803184509277344,2.434682846069336,160
bert-base-multilingual-cased,zh,0,2,2,3.7836945056915283,3.0956649780273438,160
bert-base-multilingual-cased,zh,-2,2,4,3.285402774810791,2.8484792709350586,160
