model,class,n,mean_cosine_to_centroid,std_cosine_to_centroid
gpt2,active_to_passive,1000,0.7679111361503601,0.32572847604751587
gpt2,certainty_to_uncertainty,1000,0.9719743728637695,0.059164877980947495
gpt2,formalization,1000,0.8902630805969238,0.20137690007686615
gpt2,negation,1000,0.9381138682365417,0.1303476095199585
gpt2,past_to_future,1000,0.8615145087242126,0.283927321434021
gpt2,question,1000,0.945884644985199,0.06701594591140747
