model,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
xlm-roberta-base,en,linear,NQ_minus_QN,4,1.0759598666750256,0.9833465702668706,0.9998843150343268,8.359499473100113e-05,0.0033222591362126247,-0.05741803585787517,0.08425986032072905,-0.011093880459877192,-0.01490616810839043
xlm-roberta-base,en,linear,NM_minus_MN,4,0.7360989992283344,0.9125021947013608,0.9998840737045437,8.28966351885925e-05,0.0033222591362126247,-0.21335887502478573,0.002836642842353493,0.15094633019335593,0.06146443950846239
xlm-roberta-base,en,linear,NT_minus_TN,4,0.5821322618038265,0.8694903237811796,0.9998831395260127,8.123011479446904e-05,0.0033222591362126247,-0.24374239398149655,0.01821028661839519,0.01686427991806396,0.21095774343800452
xlm-roberta-base,en,linear,QM_minus_MQ,4,1.0669193225401299,0.9447942003172782,0.9998742718431606,9.458698577368973e-05,0.0033222591362126247,-0.014354132939005795,-0.1327519432232818,0.1330998253741814,0.01373684495771307
xlm-roberta-base,en,linear,QT_minus_TQ,4,0.9918869554108186,0.9406107095421912,0.9998826334533782,7.902317216936726e-05,0.0033222591362126247,-0.02296272012364452,-0.15347889490869812,0.019653511660986122,0.15702954101654784
xlm-roberta-base,en,linear,MT_minus_TM,4,0.7012423754913463,0.9310226699298174,0.9998836478262967,8.611898696390148e-05,0.0033222591362126247,-0.013105165281581968,0.008052806801811363,-0.1513652306502542,0.15656519911822403
xlm-roberta-base,en,affine,NQ_minus_QN,4,0.8748522590933018,0.8834787879585023,0.999872320208785,9.509441526330452e-05,0.0033222591362126247,-0.28268594333332947,0.2197689641000474,0.026903857802294203,0.038135505642129
xlm-roberta-base,en,affine,NM_minus_MN,4,0.6891020755834711,0.9276945102635219,0.9998761313616547,8.427187791023078e-05,0.0033222591362126247,-0.20932834849218943,0.015324021748947217,0.13811662028081867,0.0576415588668916
xlm-roberta-base,en,affine,NT_minus_TN,4,0.5231178726137867,0.9093925030280368,0.9998743486384264,8.785086952042712e-05,0.0033222591362126247,-0.22248358405651195,0.017161475977747642,0.01797559871533189,0.1893121548744426
xlm-roberta-base,en,affine,QM_minus_MQ,4,0.9278210776511673,0.9156545332924786,0.9998803147135343,8.77426889844525e-05,0.0033222591362126247,0.05528455308342505,-0.20840747066819743,0.1248389412422502,0.027823978707958642
xlm-roberta-base,en,affine,QT_minus_TQ,4,0.8195943624171497,0.9162098546490373,0.9998740978137615,8.936623098367382e-05,0.0033222591362126247,0.041812893706907064,-0.2010410708372575,-0.005660584882744958,0.16469355418971185
xlm-roberta-base,en,affine,MT_minus_TM,4,0.6539834077642807,0.9504596017484829,0.999884822535477,7.946433560698527e-05,0.0033222591362126247,-0.009678126481982345,0.0018138609042942268,-0.12803485398071252,0.13601134498270437
xlm-roberta-base,es,linear,NQ_minus_QN,4,0.986448080525501,0.9666923064247982,0.9998766833571526,8.223008787983434e-05,0.0033222591362126247,-0.08145486879079726,0.12567936931212598,-0.013038544982815507,-0.030170127994480957
xlm-roberta-base,es,linear,NM_minus_MN,4,0.7370461081788954,0.9075291256581642,0.9998772716626257,8.27345868112558e-05,0.0033222591362126247,-0.2205299506438978,0.011238123810687395,0.16330030626019604,0.04793093864749053
xlm-roberta-base,es,linear,NT_minus_TN,4,0.5954453539897155,0.8568083446354525,0.9998888954772481,8.463854285726119e-05,0.0033222591362126247,-0.2662025394400603,0.026852393228175675,0.009388481306679035,0.23209254723706993
xlm-roberta-base,es,linear,QM_minus_MQ,4,1.0433364983783062,0.929776269672944,0.9998725046782084,8.66228878334621e-05,0.0033222591362126247,-0.009388980634147746,-0.16326026582108644,0.15461882086080325,0.018097869946780566
xlm-roberta-base,es,linear,QT_minus_TQ,4,0.9570249089618245,0.9161833508185231,0.9998800950341988,8.949317915231738e-05,0.0033222591362126247,-0.01419016974469999,-0.1955665781143856,0.02210183267763876,0.18792939337215747
xlm-roberta-base,es,linear,MT_minus_TM,4,0.7185523258991825,0.9216508215261309,0.9998847522282066,8.706887820654451e-05,0.0033222591362126247,-0.019301341486435787,0.009326193978369571,-0.16555804517468792,0.1754132107975509
xlm-roberta-base,es,affine,NQ_minus_QN,4,0.8187149951176037,0.8709772533467887,0.9998821704641275,8.186094568025475e-05,0.0033222591362126247,-0.27591845135278714,0.25738313547170977,0.015370104572181062,0.004592978065892452
xlm-roberta-base,es,affine,NM_minus_MN,4,0.6896002597902887,0.9277701677548286,0.9998760993554161,8.435621174761603e-05,0.0033222591362126247,-0.2023665486297722,0.01524549218285455,0.1488441630176142,0.04001166787316921
xlm-roberta-base,es,affine,NT_minus_TN,4,0.5207766388709968,0.9099078904685655,0.9998795754795943,8.389367018805772e-05,0.0033222591362126247,-0.226903138352115,0.021373039051662962,0.01283473287625333,0.1944295627098315
xlm-roberta-base,es,affine,QM_minus_MQ,4,0.9064633596871019,0.9010088067435247,0.9998756478376378,9.33714172372288e-05,0.0033222591362126247,0.05962620680352443,-0.24489872369718518,0.15016748305778685,0.03539156645962439
