method,pair,mean_closure_residual_ratio,std_closure_residual_ratio,mean_random_subspace_null,mean_empirical_p,cells
affine,MT_minus_TM,0.9871102623621514,0.017395021555031833,0.9998780274263861,0.0033222591362126,63
affine,NM_minus_MN,0.9742092119773166,0.045221105613835924,0.9998776307357469,0.00891209196857035,63
affine,NQ_minus_QN,0.9583229905102799,0.05196178754223211,0.9998768038103946,0.0033749934082159747,63
affine,NT_minus_TN,0.9665127778211153,0.05346385169724616,0.9998779900036817,0.0035859304962294744,63
affine,QM_minus_MQ,0.974120401656998,0.03218032563364492,0.9998782253024222,0.013447239360860598,63
affine,QT_minus_TQ,0.9625812026792113,0.04820495368768321,0.9998778680701891,0.0033222591362126,63
linear,MT_minus_TM,0.9845816073240626,0.024240747524713675,0.9998778410327981,0.0033222591362126,63
linear,NM_minus_MN,0.9761691810677101,0.03896435813223893,0.9998788967684343,0.005220692928334099,63
linear,NQ_minus_QN,0.9778120419806818,0.025766984740240154,0.9998778808119982,0.003902336128249724,63
linear,NT_minus_TN,0.9643630227741096,0.05626587717641744,0.9998784290852554,0.003902336128249722,63
linear,QM_minus_MQ,0.9769763937768536,0.029256516795409776,0.9998782060552436,0.006802721088435349,63
linear,QT_minus_TQ,0.968336776887512,0.04223497915133275,0.999878648427656,0.0033222591362126,63
