model,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,en,linear,NQ_minus_QN,4,3.849378109444889,0.9857675613420537,0.9998752162905395,8.490771148845712e-05,0.0033222591362126247,-0.07752975367012917,0.10219507145846443,-0.01203223625619325,-0.04846392482053176
bert-base-multilingual-cased,en,linear,NM_minus_MN,4,2.6770534528829217,0.9962109081757284,0.9998797220156538,8.105969166940727e-05,0.0033222591362126247,0.04270072986252921,-0.001153338128532102,-0.043122479525552725,-0.008765898235584766
bert-base-multilingual-cased,en,linear,NT_minus_TN,4,2.6613893155751,0.998478530555871,0.9998840789827245,8.079259675319678e-05,0.0033222591362126247,-0.009572954081805397,0.02257924022548273,-0.005674239745284672,-0.018269439409673762
bert-base-multilingual-cased,en,linear,QM_minus_MQ,4,3.441327759045484,0.9918186083341486,0.9998811162497577,8.369409496194489e-05,0.0033222591362126247,0.05560035815380597,-0.07342417790797431,0.010328287458767306,0.013654337881868164
bert-base-multilingual-cased,en,linear,QT_minus_TQ,4,3.7653772821534806,0.9892967496486733,0.9998881828108991,7.541240668309761e-05,0.0033222591362126247,0.06920225762325459,-0.08829804589572407,0.008291317804464985,0.03546018848613324
bert-base-multilingual-cased,en,linear,MT_minus_TM,4,2.7556000059745696,0.9965100273652431,0.9998790722140424,8.593847683106366e-05,0.0033222591362126247,-0.005993130169584015,0.021914090210609978,0.03133013335349392,-0.040306386708156
bert-base-multilingual-cased,en,affine,NQ_minus_QN,4,3.7305835616118888,0.9832103029783162,0.9998734261308564,8.750767717006987e-05,0.0033222591362126247,-0.0893480385036994,0.11167124219152064,-0.004983588299503906,-0.05202638271986903
bert-base-multilingual-cased,en,affine,NM_minus_MN,4,2.670099305691803,0.9958834960319134,0.9998715603214445,8.668867081824918e-05,0.0033222591362126247,0.04250756742893595,-0.006851998681712518,-0.044462547506972414,-0.0012296460163372838
bert-base-multilingual-cased,en,affine,NT_minus_TN,4,2.6073018962538903,0.9985152017136897,0.9998782949019812,8.457653552200265e-05,0.0033222591362126247,0.00029330700813639247,0.019043534360728715,-2.724588912582854e-05,-0.028889963829143415
bert-base-multilingual-cased,en,affine,QM_minus_MQ,4,3.4234512433029334,0.9911936341843157,0.999873739307626,9.929557182891997e-05,0.0033222591362126247,0.05648912994981317,-0.08038730022764537,0.010063224292389802,0.019063194669684973
