method,triple,mean_relative_jacobi_operator_norm,std_relative_jacobi_operator_norm,cells
affine,NMT,0.0664330403374675,0.03649565098593177,63
affine,NQM,0.061996043144116934,0.02799644678496212,63
affine,NQT,0.05562976576356817,0.031840215457727826,63
affine,QMT,0.07324556149213565,0.03445370615804611,63
linear,NMT,0.06701092365581605,0.037343971789989265,63
linear,NQM,0.06209056356439413,0.031133561090242484,63
linear,NQT,0.06922760699463627,0.041330177231619046,63
linear,QMT,0.06951380195213697,0.029616250336923337,63
