model,pair,null_type,observed_mean_relative_commutator_norm,null_mean,null_std,null_p05,null_p95,observed_percentile_smaller_is_more_coherent,p_smaller_or_equal_null,p_larger_or_equal_null,n_null
bert-base-uncased,MT_vs_TM,random_pairing_same_pair,0.5194782614707947,0.9584322966337204,0.012302676256863439,0.9392392009496688,0.9778632819652557,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,MT_vs_TM,random_pairing_any_pair,0.5194782614707947,1.1046493750810624,0.016710621990622683,1.0771052181720733,1.1306151866912841,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,MT_vs_TM,random_direction_norm_matched,0.5194782614707947,1.4142773575662113,0.008150503383288016,1.4002060420680473,1.4268683632062875,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NM_vs_MN,random_pairing_same_pair,0.34242141246795654,0.8658764107823372,0.011470350703489885,0.8453598082065582,0.8845402836799622,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NM_vs_MN,random_pairing_any_pair,0.34242141246795654,1.104900744318962,0.01760061854600084,1.0766514241695404,1.132830595970154,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NM_vs_MN,random_direction_norm_matched,0.34242141246795654,1.4121469715591115,0.007981262726878565,1.3994988761328284,1.4253717789091316,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NQ_vs_QN,random_pairing_same_pair,0.6145250201225281,0.875008929848671,0.0068187581293058476,0.8633232891559601,0.8859070092439651,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NQ_vs_QN,random_pairing_any_pair,0.6145250201225281,1.1046345959901809,0.017581933572943832,1.075958240032196,1.1330472946166992,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NQ_vs_QN,random_direction_norm_matched,0.6145250201225281,1.4129115379566015,0.008105867081101637,1.400117998090926,1.426206537959369,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NT_vs_TN,random_pairing_same_pair,0.5680562853813171,0.9146965103149414,0.008650103146861257,0.9003412216901779,0.9284737348556519,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NT_vs_TN,random_pairing_any_pair,0.5680562853813171,1.1049393075704574,0.01652563115675154,1.0771105945110322,1.13072726726532,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,NT_vs_TN,random_direction_norm_matched,0.5680562853813171,1.4154277788993785,0.008075994788001714,1.4023132942340457,1.4292446425757785,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,QM_vs_MQ,random_pairing_same_pair,0.5511482357978821,0.8511433632373809,0.007051873233231727,0.8395248413085937,0.8631120532751083,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,QM_vs_MQ,random_pairing_any_pair,0.5511482357978821,1.1038277328014374,0.01764747589092107,1.0751160681247711,1.1326881527900696,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,QM_vs_MQ,random_direction_norm_matched,0.5511482357978821,1.4156268780506485,0.007897402083282087,1.4022144771956921,1.4285067612539895,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,QT_vs_TQ,random_pairing_same_pair,0.6035779118537903,0.8616028285622597,0.00629120672719583,0.8515391319990158,0.8713249027729034,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,QT_vs_TQ,random_pairing_any_pair,0.6035779118537903,1.104453040957451,0.017200239308990572,1.0771155893802642,1.1324597239494323,0.0,0.000999000999000999,1.0,1000
bert-base-uncased,QT_vs_TQ,random_direction_norm_matched,0.6035779118537903,1.4197303155103262,0.008324305415284481,1.405908081566231,1.43364887268219,0.0,0.000999000999000999,1.0,1000
distilroberta-base,MT_vs_TM,random_pairing_same_pair,0.4693390429019928,0.7681575523614883,0.008484055786334984,0.752933394908905,0.781604066491127,0.0,0.000999000999000999,1.0,1000
distilroberta-base,MT_vs_TM,random_pairing_any_pair,0.4693390429019928,0.9448240401744843,0.015410670306973151,0.9189710170030594,0.9706373006105423,0.0,0.000999000999000999,1.0,1000
distilroberta-base,MT_vs_TM,random_direction_norm_matched,0.4693390429019928,1.41923570862858,0.00799628701424059,1.4062059892907424,1.432061997134493,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NM_vs_MN,random_pairing_same_pair,0.42646899819374084,0.7066574442386627,0.007007726314232184,0.6948849320411682,0.7180907279253006,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NM_vs_MN,random_pairing_any_pair,0.42646899819374084,0.9434863154888153,0.014866150905021648,0.9184345662593841,0.9687050551176071,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NM_vs_MN,random_direction_norm_matched,0.42646899819374084,1.4127560713253096,0.008135750227945295,1.399319039847304,1.426559263253274,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NQ_vs_QN,random_pairing_same_pair,0.6999241709709167,0.7802692263722419,0.0021735254338868496,0.7767126351594925,0.7836986929178238,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NQ_vs_QN,random_pairing_any_pair,0.6999241709709167,0.944179096877575,0.015207768214442164,0.9196567416191102,0.9697656095027923,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NQ_vs_QN,random_direction_norm_matched,0.6999241709709167,1.4109951901070936,0.00816407885655763,1.3976182451114496,1.4242762653496956,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NT_vs_TN,random_pairing_same_pair,0.5709324479103088,0.6946396946310996,0.0034435147559266463,0.6888321578502655,0.7002033561468124,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NT_vs_TN,random_pairing_any_pair,0.5709324479103088,0.9439536041617393,0.015220044406256088,0.9194508790969849,0.9686205953359603,0.0,0.000999000999000999,1.0,1000
distilroberta-base,NT_vs_TN,random_direction_norm_matched,0.5709324479103088,1.4192600232065113,0.008002417869169895,1.4059181631948212,1.4321291776682195,0.0,0.000999000999000999,1.0,1000
distilroberta-base,QM_vs_MQ,random_pairing_same_pair,0.6748115420341492,0.8039981540441513,0.0034597670566261086,0.7982886582612991,0.8096954613924027,0.0,0.000999000999000999,1.0,1000
distilroberta-base,QM_vs_MQ,random_pairing_any_pair,0.6748115420341492,0.9446352568268775,0.015541437143917012,0.9194111377000809,0.9693170011043548,0.0,0.000999000999000999,1.0,1000
distilroberta-base,QM_vs_MQ,random_direction_norm_matched,0.6748115420341492,1.4218518827198532,0.008086861510119106,1.408615941571425,1.435471379738519,0.0,0.000999000999000999,1.0,1000
distilroberta-base,QT_vs_TQ,random_pairing_same_pair,0.8298868536949158,0.8843626814484596,0.0016247385050211685,0.8816966146230698,0.887022066116333,0.0,0.000999000999000999,1.0,1000
distilroberta-base,QT_vs_TQ,random_pairing_any_pair,0.8298868536949158,0.9434194322228432,0.015139069548288973,0.9191255301237107,0.9675830930471421,0.0,0.000999000999000999,1.0,1000
distilroberta-base,QT_vs_TQ,random_direction_norm_matched,0.8298868536949158,1.450522491225498,0.007413497052994876,1.4381016547955612,1.4626189085991923,0.0,0.000999000999000999,1.0,1000
roberta-base,MT_vs_TM,random_pairing_same_pair,0.44178861379623413,0.8062762336730958,0.008992879576432031,0.7913724899291992,0.820124039053917,0.0,0.000999000999000999,1.0,1000
roberta-base,MT_vs_TM,random_pairing_any_pair,0.44178861379623413,1.0167991465330124,0.015083479241205183,0.9913197100162506,1.040567398071289,0.0,0.000999000999000999,1.0,1000
roberta-base,MT_vs_TM,random_direction_norm_matched,0.44178861379623413,1.418124564340311,0.008283286327206776,1.4044213159925865,1.4319216399118153,0.0,0.000999000999000999,1.0,1000
roberta-base,NM_vs_MN,random_pairing_same_pair,0.4524926543235779,0.7930889593362809,0.00744344893143621,0.780883452296257,0.8050777226686477,0.0,0.000999000999000999,1.0,1000
roberta-base,NM_vs_MN,random_pairing_any_pair,0.4524926543235779,1.017076168000698,0.01540139003995638,0.9896983653306961,1.0418198227882385,0.0,0.000999000999000999,1.0,1000
roberta-base,NM_vs_MN,random_direction_norm_matched,0.4524926543235779,1.4125853553785859,0.008090771298267737,1.399172953863947,1.4258193442164995,0.0,0.000999000999000999,1.0,1000
roberta-base,NQ_vs_QN,random_pairing_same_pair,0.7744684815406799,0.8843692430257797,0.0029285980115024823,0.8792106807231903,0.8889731019735336,0.0,0.000999000999000999,1.0,1000
roberta-base,NQ_vs_QN,random_pairing_any_pair,0.7744684815406799,1.0170277784466744,0.014697368101295506,0.9933976769447327,1.040957897901535,0.0,0.000999000999000999,1.0,1000
roberta-base,NQ_vs_QN,random_direction_norm_matched,0.7744684815406799,1.4120657924911675,0.008274616993840314,1.3985476916841695,1.4262854717305844,0.0,0.000999000999000999,1.0,1000
roberta-base,NT_vs_TN,random_pairing_same_pair,0.5539777278900146,0.7664412729144097,0.005689030583503502,0.7573397427797317,0.7751292139291763,0.0,0.000999000999000999,1.0,1000
roberta-base,NT_vs_TN,random_pairing_any_pair,0.5539777278900146,1.01646892952919,0.015438782162057832,0.9908399879932404,1.0412717938423157,0.0,0.000999000999000999,1.0,1000
roberta-base,NT_vs_TN,random_direction_norm_matched,0.5539777278900146,1.4169811302236661,0.008239798077403245,1.4035177880658691,1.4299466488837864,0.0,0.000999000999000999,1.0,1000
roberta-base,QM_vs_MQ,random_pairing_same_pair,0.7713172435760498,0.9300871793031692,0.004243661254836638,0.9228856146335602,0.9368512868881226,0.0,0.000999000999000999,1.0,1000
roberta-base,QM_vs_MQ,random_pairing_any_pair,0.7713172435760498,1.01702205234766,0.015293417789542553,0.9908370077610016,1.0424066841602326,0.0,0.000999000999000999,1.0,1000
