model,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
xlm-roberta-base,en,linear,NQM,4,0.12087296375244957,0.02327421065384414,-0.019141080323536137,0.01216494910890984,0.0025717651823883624,0.0045506002496086585
xlm-roberta-base,en,linear,NQT,4,0.18220406283382531,0.033225250945236186,-0.02678007275284055,0.01812899824895918,0.0012640346229144772,0.007515759621474982
xlm-roberta-base,en,linear,NMT,4,0.023826838854301886,0.0053753788167818575,-0.0017821683251228668,0.001397629043416645,0.0036569164001275245,-0.0032236887232349985
xlm-roberta-base,en,linear,QMT,4,0.04616379135881594,0.00831246463333429,0.0021826568056993283,-0.004971408132624453,0.005657407940407418,-0.002758969757655619
xlm-roberta-base,en,affine,NQM,4,0.018828183588538456,0.00576346190856966,0.004026379092118212,0.001160511083842214,-0.0036870776774691316,-0.001436814811544949
xlm-roberta-base,en,affine,NQT,4,0.011851944593742093,0.004908019974059244,0.003536607648966225,0.00045292941675102727,-0.0006181614104430484,-0.003315689644269912
xlm-roberta-base,en,affine,NMT,4,0.013220558729131011,0.002457078748150933,-0.0004948428727780743,-0.00013595394207572154,0.0019955648543484444,-0.0013385081036732804
xlm-roberta-base,en,affine,QMT,4,0.005784610232924262,0.0012363697442427993,-0.0001782245366669516,0.0006331966275135159,-0.0009191623170372865,0.0005010477271208923
xlm-roberta-base,es,linear,NQM,4,0.09741575794996693,0.02567786421368227,-0.021641594677603883,0.011175769773264385,0.002978726490580625,0.007564618222746953
xlm-roberta-base,es,linear,NQT,4,0.1694346152806072,0.04192747510905243,-0.03405806070536377,0.021069785654491476,0.0006415761269479778,0.012394118869733487
xlm-roberta-base,es,linear,NMT,4,0.017113330758752755,0.0043337244884981375,-0.003405459486594889,0.0010782290612874907,0.002453031569257351,-6.381096293923277e-05
xlm-roberta-base,es,linear,QMT,4,0.05248602105641926,0.010961100210327524,0.004254349729543126,-0.007952197144859379,0.0058793270469167,-0.002059684501146356
xlm-roberta-base,es,affine,NQM,4,0.020956389908092826,0.00587912492682338,0.0031291798412768357,0.0017510370768625966,-0.0046551710616097985,-0.00018866628937328498
xlm-roberta-base,es,affine,NQT,4,0.021496766436511713,0.007247113621514251,0.002030927234538085,0.004307266368111115,-0.0008877765865360522,-0.0053902967986638895
xlm-roberta-base,es,affine,NMT,4,0.01138966331210328,0.0023291564131682346,-0.0013074007130357487,0.0004957659040704101,0.0016708180276029175,-0.0008235631484923775
xlm-roberta-base,es,affine,QMT,4,0.015150608641041285,0.005316978882926949,-0.0003225037352668769,-0.0018324575574493185,-0.002263865199097135,0.004436583081910424
xlm-roberta-base,fr,linear,NQM,4,0.04432182658720441,0.008298775642733394,-0.006780075594187859,0.00443462546466416,0.0007441364241148269,0.001637256875380582
xlm-roberta-base,fr,linear,NQT,4,0.13760423098256055,0.025184634626133285,-0.019006074353586425,0.015167960167766953,-0.0022148764630934795,0.006169462336382773
xlm-roberta-base,fr,linear,NMT,4,0.03395336285295391,0.005411310221582579,-0.0032224208830767334,0.004190399868943523,0.0002521822909300406,-0.0011292630326963024
xlm-roberta-base,fr,linear,QMT,4,0.06588987195558461,0.012252617069148378,0.007612742346943295,-0.007814055467090335,0.0040442618819414265,-0.0038415181881326227
xlm-roberta-base,fr,affine,NQM,4,0.02773214617725809,0.007365779159440059,0.004624609991265155,0.0007819416033249746,-0.005671135424513657,0.00030736847617782084
xlm-roberta-base,fr,affine,NQT,4,0.016438246384935552,0.006569338078370539,0.0036029548128889144,0.0022442488160524313,-0.0008968418285507842,-0.004932944494966336
xlm-roberta-base,fr,affine,NMT,4,0.012857895801986543,0.0026056166390008326,-0.0010298420962555899,0.00137860412714643,0.0012249380444047282,-0.0015256607664230724
xlm-roberta-base,fr,affine,QMT,4,0.019254080268888356,0.005103420468826582,-0.0002895148550833629,0.0003340655562235062,-0.0035759337809152664,0.0036141637247056636
xlm-roberta-base,de,linear,NQM,4,0.024429188594587238,0.010484575659602308,-0.008724191369926734,0.0010705849968181275,0.002590373336971396,0.005094960789104925
xlm-roberta-base,de,linear,NQT,4,0.06534694650049262,0.02346745073449423,-0.01901928783001955,0.008018617390955378,-9.641428269609696e-05,0.011166038412899369
xlm-roberta-base,de,linear,NMT,4,0.015887724577640996,0.004220726757559166,-0.0035728075585232805,0.0014099590144697957,0.001641907712116749,0.0006047604105277812
xlm-roberta-base,de,linear,QMT,4,0.038933726553242586,0.009972000117868498,0.005510404547871263,-0.005661631267354118,0.00439733149598482,-0.004205429249970465
xlm-roberta-base,de,affine,NQM,4,0.024580954444317515,0.008299243571285291,0.006035194600715416,3.7360902574973265e-05,-0.0056870272893789955,-0.0003319559606831963
