model,heldout_language,method,operator,target_cosine,mse,n_test
intfloat/multilingual-e5-large,en,additive,N,0.8136537671089172,0.535327136516571,160
intfloat/multilingual-e5-large,en,linear,N,0.8551485525411963,0.39292204415925813,160
intfloat/multilingual-e5-large,en,affine,N,0.8522206544876099,0.39947372674942017,160
intfloat/multilingual-e5-large,en,additive,Q,0.8599146008491516,0.41545113921165466,160
intfloat/multilingual-e5-large,en,linear,Q,0.7501824014220235,0.649081359715853,160
intfloat/multilingual-e5-large,en,affine,Q,0.7379732131958008,0.6835419535636902,160
intfloat/multilingual-e5-large,en,additive,M,0.966913104057312,0.10421540588140488,160
intfloat/multilingual-e5-large,en,linear,M,0.8918639419153077,0.31804767313896287,160
intfloat/multilingual-e5-large,en,affine,M,0.8925613164901733,0.31575125455856323,160
intfloat/multilingual-e5-large,en,additive,T,0.961068332195282,0.12227821350097656,160
intfloat/multilingual-e5-large,en,linear,T,0.8861477410387444,0.339532045656824,160
intfloat/multilingual-e5-large,en,affine,T,0.8856401443481445,0.3407415449619293,160
intfloat/multilingual-e5-large,es,additive,N,0.8677495121955872,0.2626449167728424,160
intfloat/multilingual-e5-large,es,linear,N,0.8543002841516449,0.2736104845959346,160
intfloat/multilingual-e5-large,es,affine,N,0.8542550802230835,0.2740742266178131,160
intfloat/multilingual-e5-large,es,additive,Q,0.8984473943710327,0.19042813777923584,160
intfloat/multilingual-e5-large,es,linear,Q,0.8176453103370932,0.31367778609659486,160
intfloat/multilingual-e5-large,es,affine,Q,0.8101468086242676,0.33110758662223816,160
intfloat/multilingual-e5-large,es,additive,M,0.9377188682556152,0.13046517968177795,160
intfloat/multilingual-e5-large,es,linear,M,0.8863536818569916,0.23182996733260727,160
intfloat/multilingual-e5-large,es,affine,M,0.8860441446304321,0.23169955611228943,160
intfloat/multilingual-e5-large,es,additive,T,0.9448719024658203,0.1214204803109169,160
intfloat/multilingual-e5-large,es,linear,T,0.8744549285066633,0.2559928922962837,160
intfloat/multilingual-e5-large,es,affine,T,0.8740482330322266,0.25825825333595276,160
intfloat/multilingual-e5-large,fr,additive,N,0.905835747718811,0.1995440125465393,160
intfloat/multilingual-e5-large,fr,linear,N,0.8322644079355019,0.3286958903324142,160
intfloat/multilingual-e5-large,fr,affine,N,0.829681396484375,0.3350163698196411,160
intfloat/multilingual-e5-large,fr,additive,Q,0.8983505368232727,0.22802576422691345,160
intfloat/multilingual-e5-large,fr,linear,Q,0.7883775332325229,0.43521682655364974,160
intfloat/multilingual-e5-large,fr,affine,Q,0.7945079803466797,0.4235360026359558,160
intfloat/multilingual-e5-large,fr,additive,M,0.9583700895309448,0.09089251607656479,160
