model,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,NQ_minus_QN,4,1.5122983922908921,0.9424173270289316,0.9998810375865397,8.16511069044831e-05,0.004975124378109453,-0.15702632627518395,0.1129524241911335,0.039636557925591565,0.008009502364290995
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,NM_minus_MN,4,1.6699841971315839,0.9212498718806688,0.9998805545677983,7.473113514868818e-05,0.004975124378109453,-0.18760375429043896,0.04813099268285881,0.14763886179485355,-0.0008849721613696711
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,NT_minus_TN,4,1.6803452411781767,0.8710630482543753,0.9998727232246581,8.03562340507703e-05,0.004975124378109453,-0.24735579969010488,0.07491158023038502,0.13823064748762753,0.042099583998139345
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,QM_minus_MQ,4,1.1779045756943642,0.9287038966155329,0.9998827657947887,7.549900683110559e-05,0.004975124378109453,0.008332722649577753,-0.20099057265327763,0.10101359623567059,0.09422374607516612
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,QT_minus_TQ,4,1.1100175687728122,0.9148290072211527,0.9998794637870393,9.265297069778208e-05,0.004975124378109453,0.03888359382133393,-0.22600495772118445,0.044214662487096296,0.14291528135309534
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,MT_minus_TM,4,0.9635036039729601,0.9793399290047967,0.9998615711942918,0.00010036900312261473,0.004975124378109453,0.02264637395696015,-0.03778488241582985,-0.07907751243122191,0.0929926663277777
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,NQ_minus_QN,4,1.5106666595822789,0.8484144360250094,0.999885734183858,7.619570802707383e-05,0.004975124378109453,-0.28443508644507787,0.21121595139744284,0.04920604219569794,0.030520634550607217
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,NM_minus_MN,4,1.5511887206478,0.8749191925911839,0.9998792659794185,9.556294126026216e-05,0.004975124378109453,-0.2462916061909505,0.05138940634376471,0.16912539085655337,0.034338513323066755
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,NT_minus_TN,4,1.5630333500576576,0.8360034014330403,0.9998837984900143,7.861530310800756e-05,0.004975124378109453,-0.2873172370549871,0.04375320964892088,0.07217261696918076,0.17879686841075915
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,QM_minus_MQ,4,1.1212041742163519,0.9299092279051921,0.9998757627900764,8.879384670760542e-05,0.004975124378109453,-0.008000106459074351,-0.19206832300850427,0.09909207358349127,0.10367440914581585
