method,triple,mean_relative_jacobi_operator_norm,std_relative_jacobi_operator_norm,cells
affine,NMT,0.05737072634303146,0.0336373400343676,49
affine,NQM,0.06509093949850848,0.028889967127908204,49
affine,NQT,0.05718293100346419,0.03407115749394055,49
affine,QMT,0.07062756261247558,0.03779013973973836,49
linear,NMT,0.058586304819280684,0.03599620086515505,49
linear,NQM,0.0678292956226594,0.029603287479112974,49
linear,NQT,0.07299721823906953,0.0457292739818161,49
linear,QMT,0.06894677936959512,0.03267962689811761,49
