alignment_size,mean_f1,std_f1,mean_acc,n
2,0.12152769697223671,0.051425185287150704,0.2222,20
4,0.18343706769081444,0.06690872691960055,0.2572,20
8,0.2832408204819403,0.1054286585747156,0.3309,20
16,0.4557726009111923,0.11108249525089124,0.4769,20
32,0.5820393317100574,0.06280602690534222,0.5827,20
64,0.6164104715659928,0.05187958805146192,0.6269,20
100,0.6161005422530021,0.030357263629604527,0.6195999999999999,20
600,0.6383104257113752,0.0,0.646,20
